ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,120,NaN,120,2019-11-04,0,2,17:58:51.095,0.508474576271186,1,135,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1.5,1.50847457627119,2,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:58:44.881,1,120,1,PAV,30,0
3,4,0,0,1.2,1.20338983050847,NaN,121,NaN,121,2019-11-04,0,2,17:59:03.012,0.508474576271186,1,137,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,91,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:58:56.378,1,121,1,PAV,30,0
3,4,0,0,1.2,1.20338983050847,NaN,122,NaN,122,2019-11-04,0,2,17:59:14.796,0.508474576271186,1,138.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,92,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:59:08.245,1,122,1,PAV,30,0
3,4,0,0,1.2,1.20338983050847,NaN,123,NaN,123,2019-11-04,0,2,17:59:26.395,0.508474576271186,1,139.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,93,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:59:20.047,1,123,1,PAV,30,0
3,4,0,0,1.2,1.20338983050847,NaN,124,NaN,124,2019-11-04,0,2,17:59:37.879,0.508474576271186,1,139.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1,1.50847457627119,1,93,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:59:31.678,1,124,1,PAV,31,0
3,4,0,0,1.2,1.20338983050847,NaN,125,NaN,125,2019-11-04,0,2,17:59:49.596,0.508474576271186,1,141,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,94,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:59:43.096,1,125,1,PAV,31,0
3,4,0,0,1.2,1.20338983050847,NaN,126,NaN,126,2019-11-04,0,2,18:00:02.517,0.508474576271186,1,143,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,95,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:59:55.979,1,126,1,PAV,31,0
3,4,0,0,1.2,1.20338983050847,NaN,127,NaN,127,2019-11-04,0,2,18:00:14.163,0.508474576271186,1,144,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,96,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:00:07.784,1,127,1,PAV,31,0
3,4,0,0,1.2,1.20338983050847,NaN,128,NaN,128,2019-11-04,0,2,18:00:25.745,0.508474576271186,1,144,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,3,96,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:00:19.461,1,128,1,PAV,32,0
3,4,0,0,1.2,1.20338983050847,NaN,129,NaN,129,2019-11-04,0,2,18:00:37.495,0.508474576271186,1,145.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,97,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:00:30.978,1,129,1,PAV,32,0
