ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3.1,4,1,1.2,1.2,1.2,NaN,74,0.59752657681783,67,2019-15-04,7,2,10:44:03.914,0.7,0.883333333333333,17.85,0,0.548693961792455,ordered,0,90.5405405405405,NaN,lose,0,1,0,1.05,1.5,3,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:43:54.066,1,74,1,BDM,42,74.8117689368563
4,4,1,1.2,1.2,1.2,NaN,75,0.88401673572382,68,2019-15-04,7,2,10:44:19.981,0.7,1.08333333333333,17.85,0,0.405721842266717,ordered,0,90.6666666666667,NaN,lose,0,1,0,0.35,1.5,1,25,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:44:09.782,1,75,1,BDM,43,76.0117689368563
2.03333333333333,4,1,1.2,1.2,1.2,NaN,76,0.943731541195791,69,2019-15-04,7,2,10:44:32.831,0.3,0.65,17.85,0,0.571361013723953,ordered,0,90.7894736842105,NaN,lose,0,1,0,0.7,1.5,2,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:44:23.549,1,76,1,BDM,44,77.2117689368563
3.98333333333333,4,0.450841912580097,0.541010295096117,1.2,1.2,NaN,77,0.549158087419903,70,2019-15-04,7,2,10:44:47.819,0.6,0.5,18.9,0,0.599915816972955,ordered,1,90.9090909090909,NaN,win_paid,3,1,1.05,1.05,1.5,3,26,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:44:38.332,1,77,1,BDM,44,77.7527792319525
2,4,1,1.2,1.2,1.2,NaN,78,0.728386824594357,71,2019-15-04,7,2,10:45:01.380,0.633333333333333,0.5,18.9,0,0.332197834320577,ordered,0,91.025641025641,NaN,lose,0,1,0,0.35,1.5,1,26,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:44:51.766,1,78,1,BDM,45,78.9527792319525
4,4,1,1.2,1.2,1.2,NaN,79,0.57675829785801,72,2019-15-04,7,2,10:45:17.047,0.7,1.01666666666667,18.9,0,0.395147213034553,ordered,0,91.1392405063291,NaN,lose,0,1,0,0.7,1.5,2,26,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:45:06.933,1,79,1,BDM,46,80.1527792319525
3.66666666666667,4,0.97414252891686,1.16897103470023,1.2,1.2,NaN,80,0.0258574710831396,73,2019-15-04,7,2,10:45:31.990,0.483333333333333,0.95,19.25,0,0.381134639945995,ordered,1,91.25,NaN,win_paid,1,1,0.35,0.35,1.5,1,27,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:45:22.282,1,80,1,BDM,46,81.3217502666527
2.31666666666667,4,0.553469021715186,0.664162826058223,1.2,1.2,NaN,81,0.446530978284814,74,2019-15-04,7,2,10:45:45.706,0.416666666666667,0.816666666666667,20.3,0,0.501992181673039,ordered,1,91.358024691358,NaN,win_paid,3,1,1.05,1.05,1.5,3,28,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:45:35.864,1,81,1,BDM,46,81.9859130927109
2.8,4,1,1.2,1.2,1.2,NaN,82,0.646301957350656,75,2019-15-04,7,2,10:45:59.795,0.45,0.5,20.3,0,0.392228353434831,ordered,0,91.4634146341463,NaN,lose,0,1,0,0.7,1.5,2,28,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:45:50.515,1,82,1,BDM,47,83.1859130927109
3.26666666666667,4,1,1.2,1.2,1.2,NaN,83,0.521202952672418,76,2019-15-04,7,2,10:46:14.710,0.7,1.13333333333333,20.3,0,0.42667092825287,ordered,0,91.566265060241,NaN,lose,0,1,0,1.05,1.5,3,28,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:46:04.647,1,83,1,BDM,48,84.3859130927109
3.21666666666667,4,1,1.2,1.2,1.2,NaN,84,0.372312660779512,77,2019-15-04,7,2,10:46:29.130,0.7,0.7,20.3,0,0.29030168601578,ordered,0,91.6666666666667,NaN,lose,0,1,0,0.35,1.5,1,28,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:46:19.548,1,84,1,BDM,49,85.5859130927109
2,4,1,1.2,1.2,1.2,NaN,85,0.937134666341562,78,2019-15-04,7,2,10:46:42.096,0.566666666666667,0.716666666666667,20.3,0,0.149410401465131,ordered,0,91.7647058823529,NaN,lose,0,1,0,0.7,1.5,2,28,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:46:32.765,1,85,1,BDM,50,86.7859130927109
2,4,1,1.2,1.2,1.2,NaN,86,0.829532824526515,79,2019-15-04,7,2,10:46:55.696,0.616666666666667,1.01666666666667,20.3,0,0.386321876525192,ordered,0,91.8604651162791,NaN,lose,0,1,0,0.7,1.5,2,28,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:46:45.748,1,86,1,BDM,51,87.9859130927109
3,4,1,1.2,1.2,1.2,NaN,87,0.849085479954455,80,2019-15-04,7,2,10:47:10.363,0.7,1.18333333333333,20.3,0,0.605219800719771,ordered,0,91.9540229885057,NaN,lose,0,1,0,1.05,1.5,3,28,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:47:00.348,1,87,1,BDM,52,89.1859130927109
